epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,184.797,1.50025,1.70213,1.20109,0.90158,0.5085,0.56116,0.32687,1.41916,1.0867,1.19719,0.000474812,0.000474812,0.000474812
2,255.356,1.42062,1.12036,1.17243,0.90029,0.52676,0.5742,0.34008,1.41089,0.92858,1.19497,0.000941729,0.000941729,0.000941729
3,319.003,1.41434,1.03984,1.16472,0.89404,0.51494,0.57353,0.34657,1.4026,0.94384,1.19065,0.00139921,0.00139921,0.00139921
4,381.359,1.39402,0.96742,1.16112,0.92091,0.54232,0.59702,0.36591,1.35781,0.83543,1.17007,0.00138656,0.00138656,0.00138656
5,444.59,1.37324,0.92796,1.161,0.93619,0.55225,0.60669,0.38066,1.31301,0.76659,1.16032,0.00137241,0.00137241,0.00137241
6,507.24,1.3649,0.90829,1.15515,0.93234,0.56005,0.60941,0.38828,1.28652,0.78687,1.15223,0.00135826,0.00135826,0.00135826
7,569.152,1.35052,0.87183,1.14497,0.93771,0.55954,0.61506,0.38248,1.3099,0.73613,1.15218,0.00134412,0.00134412,0.00134412
8,630.906,1.34227,0.86004,1.14217,0.9417,0.57063,0.61938,0.39166,1.28779,0.70957,1.14622,0.00132997,0.00132997,0.00132997
9,693.388,1.31861,0.83775,1.13184,0.93881,0.56005,0.61872,0.40054,1.26591,0.71626,1.13733,0.00131582,0.00131582,0.00131582
10,754.862,1.30723,0.82269,1.12413,0.94522,0.57165,0.62372,0.40124,1.27356,0.67542,1.13635,0.00130168,0.00130168,0.00130168
11,818.236,1.31093,0.80523,1.12453,0.94245,0.57577,0.62682,0.40145,1.25825,0.68037,1.1341,0.00128753,0.00128753,0.00128753
12,880.053,1.29508,0.79764,1.12198,0.94267,0.58299,0.62805,0.40686,1.25587,0.66508,1.12568,0.00127338,0.00127338,0.00127338
13,941.912,1.29056,0.78373,1.11483,0.94533,0.57891,0.63127,0.40678,1.2532,0.65856,1.11888,0.00125923,0.00125923,0.00125923
14,1003.76,1.28642,0.78561,1.11298,0.94248,0.58544,0.63173,0.40655,1.25377,0.65043,1.13292,0.00124509,0.00124509,0.00124509
15,1065.69,1.28786,0.78122,1.11407,0.94552,0.57646,0.63036,0.40734,1.24652,0.6569,1.12783,0.00123094,0.00123094,0.00123094
16,1127.41,1.28535,0.76715,1.11312,0.9466,0.5924,0.63629,0.40778,1.23976,0.63617,1.12431,0.00121679,0.00121679,0.00121679
17,1190.22,1.25852,0.75335,1.10046,0.9481,0.5902,0.63677,0.42195,1.21976,0.6287,1.10979,0.00120265,0.00120265,0.00120265
18,1252.66,1.25805,0.74559,1.10189,0.94708,0.58784,0.63777,0.41619,1.23123,0.63186,1.11828,0.0011885,0.0011885,0.0011885
19,1314.43,1.27755,0.75301,1.10394,0.9476,0.59338,0.64004,0.41784,1.21977,0.61757,1.11227,0.00117435,0.00117435,0.00117435
20,1376.06,1.26082,0.7414,1.1012,0.95274,0.59396,0.64181,0.42169,1.21324,0.61507,1.10927,0.00116021,0.00116021,0.00116021
21,1437.9,1.25131,0.73251,1.1005,0.94889,0.58786,0.63814,0.41345,1.24839,0.63192,1.12624,0.00114606,0.00114606,0.00114606
22,1499.57,1.25819,0.73205,1.09877,0.94844,0.59277,0.63938,0.42209,1.20865,0.61147,1.10352,0.00113191,0.00113191,0.00113191
23,1561.95,1.2504,0.72399,1.09459,0.95026,0.59367,0.63891,0.41891,1.22472,0.61347,1.11139,0.00111776,0.00111776,0.00111776
